customer_id_raw,region,tenure_years
CUST0001,Alberta,14
CUST0002,Atlantic,6
CUST0003,Atlantic,15
CUST0004,Quebec,3
CUST0005,Quebec,2
CUST0006,,1
CUST0007,Alberta,14
CUST0008,Atlantic,5
CUST0009,Atlantic,2
cust0009,Atlantic,2
CUST0010,Quebec,7
CUST0011,Alberta,10
CUST0012,Quebec,7
CUST0013,Alberta,0
CUST0014,Alberta,8
CUST0015,Atlantic,2
CUST0016,BC,7
CUST0017,Ontario,2
CUST0018,Ontario,12
CUST0019,BC,12
CUST0020,Ontario,0
CUST0021,Ontario,15
CUST0022,,12
CUST0023,Atlantic,6
CUST0024,BC,10
CUST0025,BC,0
CUST0026,Ontario,4
CUST0027,Ontario,0
cust0027,Ontario,0
CUST0028,Alberta,5
CUST0029,Quebec,14
CUST0030,,4
CUST0031,Alberta,3
CUST0032,Quebec,0
CUST0033,Atlantic,9
CUST0034,Ontario,6
CUST0035,Atlantic,3
cust0035,Atlantic,3
CUST0036,Quebec,6
CUST0037,Ontario,10
CUST0038,Alberta,2
CUST0039,Quebec,7
cust0039,Quebec,7
CUST0040,BC,11
CUST0041,Quebec,15
CUST0042,Quebec,12
CUST0043,Quebec,9
CUST0044,Atlantic,7
CUST0045,Quebec,6
CUST0046,Alberta,15
CUST0047,Alberta,1
CUST0048,Ontario,8
CUST0049,,12
CUST0050,Atlantic,15
CUST0051,Quebec,2
CUST0052,Alberta,2
CUST0053,Quebec,0
CUST0054,Alberta,14
CUST0055,Ontario,5
CUST0056,Atlantic,4
CUST0057,Quebec,14
CUST0058,,4
CUST0059,Ontario,15
CUST0060,,9
CUST0061,Ontario,2
CUST0062,,9
CUST0063,Ontario,2
CUST0064,BC,1
CUST0065,,4
CUST0066,BC,11
CUST0067,Alberta,2
CUST0068,Alberta,0
CUST0069,Atlantic,0
CUST0070,Alberta,12
CUST0071,Atlantic,2
CUST0072,,3
CUST0073,Alberta,10
CUST0074,,14
CUST0075,Atlantic,2
CUST0076,Atlantic,0
CUST0077,Ontario,15
cust0077,Ontario,15
CUST0078,,3
CUST0079,Atlantic,15
CUST0080,Ontario,11
CUST0081,,6
