policy_id,customer_id,status,product_type,monthly_premium,start_date
POL10000,CUST0232,,term life,672.79,2022-07-14
POL10001,CUST0261,,term life,691.16,2022-09-01
POL10002,CUST0096,Active,Disability,113.44,2024-07-16
POL10003,CUST0022,Cancelled,Disability,569.68,2023-06-14
POL10004,CUST0081,Cancelled,Term Life,91.16,2020-03-14
POL10005,CUST0098,active,term life,415.79,2022-06-21
POL10006,CUST0101,Cancelled,Whole Life,444.82,2023-09-18
POL10007,CUST0044,Lapsed,WHOLE LIFE,848.1,2025-03-23
POL10008,CUST0043,cancelled,Critical Illness,226.03,2021-08-14
POL10009,CUST0016,Active,term life,364.32,2024-09-29
POL10010,CUST0149,Lapsed,Term Life,726.32,2020-01-02
POL10011,CUST0110,active,Term Life,834.09,2022-03-24
POL10012,CUST0215,Active,term life,670.59,2021-07-06
POL10013,CUST0173,Active,Critical Illness,820.9,2024-04-01
POL10014,CUST0061,active,Whole Life,48.87,2022-08-10
POL10015,CUST0250,active,WHOLE LIFE,402.41,2021-01-25
POL10016,CUST0068,Lapsed,WHOLE LIFE,359.83,2021-03-11
POL10017,CUST0001,ACTIVE,term life,756.74,2021-03-07
POL10018,CUST0096,Lapsed,term life,121.27,2020-10-26
POL10019,CUST0110,Lapsed,Critical Illness,,2023-06-03
POL10020,CUST0169,,Critical Illness,100.17,2021-03-03
POL10021,CUST0299,cancelled,Whole Life,,2022-01-25
POL10022,CUST0191,Cancelled,Disability,515.69,2024-08-31
POL10023,CUST0295,active,Disability,164.85,2025-02-03
POL10024,CUST0117,,term life,193.74,2024-02-23
POL10025,CUST0284,active,WHOLE LIFE,754.57,2023-05-21
POL10026,CUST0041,Lapsed,Term Life,71.34,2025-05-25
POL10027,CUST0131,active,WHOLE LIFE,248.15,2024-08-13
POL10028,CUST0252,ACTIVE,term life,623.49,2020-05-20
POL10029,CUST0065,active,Disability,730.44,2023-06-12
POL10030,CUST0038,ACTIVE,Whole Life,205.22,2020-02-03
POL10031,CUST0036,ACTIVE,Disability,88.97,2020-12-26
POL10032,CUST0145,ACTIVE,term life,146.58,2022-01-11
POL10033,CUST0071,Lapsed,Critical Illness,599.89,2023-04-11
POL10034,CUST0072,Cancelled,Term Life,424.58,2022-01-02
POL10035,CUST0160,Active,Term Life,100.62,2020-05-17
POL10036,CUST0160,ACTIVE,Whole Life,100.96,2023-01-23
POL10037,CUST0189,cancelled,Term Life,637.04,2023-12-12
POL10038,CUST0067,,Critical Illness,594.97,2025-01-18
POL10039,CUST0040,,Disability,64.52,2022-10-20
POL10040,CUST0294,Active,term life,347.13,2020-01-26
POL10041,CUST0037,Active,Term Life,844.59,2024-12-06
POL10042,CUST0214,cancelled,Critical Illness,635.38,2023-04-04
POL10043,CUST0235,Lapsed,Disability,107.86,2024-03-16
POL10044,CUST0264,Active,Critical Illness,429.58,2021-04-16
POL10045,CUST0058,Lapsed,term life,433.9,2025-01-09
POL10046,CUST0006,ACTIVE,Critical Illness,535.52,2022-11-27
POL10047,CUST0087,,Critical Illness,397.97,2024-12-31
POL10048,CUST0124,ACTIVE,Disability,200.79,2022-06-01
POL10049,CUST0103,active,Disability,785.85,2021-03-05
POL10050,CUST0070,active,Disability,765.48,2020-03-24
POL10051,CUST0033,ACTIVE,Whole Life,421.79,2025-03-10
POL10052,CUST0110,,Disability,461.18,2023-10-08
POL10053,CUST0162,cancelled,term life,100.49,2020-03-05
POL10054,CUST0143,,term life,613.99,2023-03-14
POL10055,CUST0182,ACTIVE,WHOLE LIFE,55.48,2020-10-05
POL10056,CUST0208,Lapsed,Whole Life,,2024-08-26
POL10057,CUST0137,active,Whole Life,837.05,2020-08-24
POL10058,CUST0229,Active,WHOLE LIFE,558.33,2022-01-25
POL10059,CUST0040,cancelled,Whole Life,424.87,2020-12-31
POL10060,CUST0006,,Disability,69.3,2021-04-08
POL10061,CUST0140,,Critical Illness,806.92,2022-10-21
POL10062,CUST0082,Lapsed,WHOLE LIFE,110.64,2025-03-24
POL10063,CUST0199,active,Disability,546.69,2025-02-06
POL10064,CUST0004,Lapsed,term life,752.25,2024-06-19
POL10065,CUST0176,Lapsed,Critical Illness,205.96,2024-01-18
POL10066,CUST0064,active,Whole Life,834.2,2021-09-26
POL10067,CUST0275,,Critical Illness,621.8,2020-02-02
POL10068,CUST0179,Cancelled,Term Life,317.06,2022-05-13
POL10069,CUST0141,Lapsed,Term Life,742.71,2022-05-28
POL10070,CUST0018,active,term life,678.2,2020-10-14
POL10071,CUST0241,active,term life,459.75,2023-10-20
POL10072,CUST0226,Lapsed,term life,109.68,2021-03-29
POL10073,CUST0225,Cancelled,term life,630.36,2023-08-01
POL10074,CUST0085,Cancelled,term life,493.58,2021-09-30
POL10075,CUST0196,,term life,729.12,2025-06-06
POL10076,CUST0279,Cancelled,Critical Illness,202.78,2023-01-02
POL10077,CUST0059,Cancelled,Term Life,62.48,2025-06-08
POL10078,CUST0023,Cancelled,Disability,841.42,2020-09-06
POL10079,CUST0252,Active,WHOLE LIFE,793.97,2022-07-28
POL10080,CUST0212,,Disability,423.26,2020-09-17
POL10081,CUST0174,Lapsed,Disability,127.98,2022-05-09
POL10082,CUST0016,ACTIVE,Whole Life,831.6,2020-03-13
POL10083,CUST0100,active,Whole Life,,2021-08-04
POL10084,CUST0165,cancelled,Critical Illness,444.05,2022-10-20
POL10085,CUST0299,Active,term life,621.33,2023-12-07
POL10086,CUST0272,Lapsed,Term Life,374.86,2022-12-20
POL10087,CUST0082,Cancelled,Whole Life,472.54,2021-03-23
POL10088,CUST0272,active,term life,733.98,2021-04-21
POL10089,CUST0178,active,Critical Illness,761.42,2021-02-02
POL10090,CUST0112,,Whole Life,148.49,2021-05-05
POL10091,CUST0068,cancelled,Term Life,118.58,2024-08-31
POL10092,CUST0216,Cancelled,WHOLE LIFE,366.25,2023-11-04
POL10093,CUST0010,Active,Whole Life,329.65,2024-08-08
POL10094,CUST0185,Active,WHOLE LIFE,654.11,2022-10-26
POL10095,CUST0097,,Term Life,59.69,2024-04-09
POL10096,CUST0283,Cancelled,term life,429.83,2021-01-23
POL10097,CUST0095,Active,Whole Life,168.0,2021-08-02
POL10098,CUST0049,Cancelled,Term Life,591.58,2020-06-07
POL10099,CUST0050,ACTIVE,Disability,457.38,2022-05-30
POL10100,CUST0108,Cancelled,Critical Illness,,2023-12-06
POL10101,CUST0021,,Whole Life,407.7,2024-02-23
POL10102,CUST0190,Lapsed,Whole Life,116.79,2024-06-10
POL10103,CUST0008,ACTIVE,Term Life,610.78,2024-10-28
POL10104,CUST0208,Cancelled,term life,513.54,2021-11-29
POL10105,CUST0133,ACTIVE,Term Life,670.17,2024-07-26
POL10106,CUST0208,active,Critical Illness,602.79,2024-04-20
POL10107,CUST0222,,Whole Life,625.33,2020-05-24
POL10108,CUST0175,ACTIVE,Disability,759.32,2023-08-01
POL10109,CUST0026,active,Critical Illness,579.54,2021-11-22
POL10110,CUST0111,cancelled,Disability,471.79,2022-03-08
POL10111,CUST0264,Lapsed,WHOLE LIFE,136.88,2022-03-20
POL10112,CUST0295,Active,Term Life,638.42,2021-06-09
POL10113,CUST0228,Lapsed,term life,198.31,2022-02-08
POL10114,CUST0006,Active,Critical Illness,773.57,2023-01-31
POL10115,CUST0277,Cancelled,Disability,500.06,2020-07-23
POL10116,CUST0228,,WHOLE LIFE,524.0,2024-04-03
POL10117,CUST0024,Lapsed,Whole Life,825.76,2024-10-18
POL10118,CUST0254,Cancelled,term life,387.96,2022-10-09
POL10119,CUST0216,ACTIVE,term life,293.04,2022-12-22
POL10120,CUST0147,Lapsed,WHOLE LIFE,792.88,2023-09-21
POL10121,CUST0152,Active,Term Life,514.5,2023-07-20
POL10122,CUST0081,Lapsed,WHOLE LIFE,767.01,2024-03-12
POL10123,CUST0204,Active,term life,805.01,2020-05-30
POL10124,CUST0115,Lapsed,WHOLE LIFE,828.27,2021-05-14
POL10125,CUST0024,Cancelled,Term Life,625.42,2022-08-17
POL10126,CUST0074,,Whole Life,133.23,2023-07-02
POL10127,CUST0214,Lapsed,Term Life,82.17,2022-12-17
POL10128,CUST0080,Active,Critical Illness,580.99,2022-07-21
POL10129,CUST0135,cancelled,term life,334.86,2024-03-03
POL10130,CUST0272,,Whole Life,634.77,2021-05-03
POL10131,CUST0247,Active,term life,675.29,2023-07-03
POL10132,CUST0184,ACTIVE,Critical Illness,627.31,2023-12-02
POL10133,CUST0098,cancelled,Critical Illness,193.75,2021-05-24
POL10134,CUST0258,cancelled,Whole Life,72.0,2020-05-04
POL10135,CUST0005,ACTIVE,Critical Illness,544.91,2020-07-28
