policy_id,customer_id,status_clean,product_clean,monthly_premium,region_clean,tenure_years,claim_count,total_claim_amount
POL10000,CUST0232,,TERM LIFE,672.79,Atlantic,15,0,0.0
POL10001,CUST0261,,TERM LIFE,691.16,Atlantic,11,1,24405.46
POL10002,CUST0096,ACTIVE,DISABILITY,113.44,UNSPECIFIED,4,0,0.0
POL10003,CUST0022,CANCELLED,DISABILITY,569.68,BC,4,0,0.0
POL10004,CUST0081,CANCELLED,TERM LIFE,91.16,Alberta,10,0,0.0
POL10005,CUST0098,ACTIVE,TERM LIFE,415.79,Atlantic,1,1,24083.28
POL10006,CUST0101,CANCELLED,WHOLE LIFE,444.82,BC,4,1,36215.79
POL10007,CUST0044,LAPSED,WHOLE LIFE,848.1,Atlantic,6,0,0.0
POL10008,CUST0043,CANCELLED,CRITICAL ILLNESS,226.03,Alberta,3,1,4107.04
POL10009,CUST0016,ACTIVE,TERM LIFE,364.32,Ontario,6,0,0.0
POL10010,CUST0149,LAPSED,TERM LIFE,726.32,Atlantic,5,1,12857.84
POL10011,CUST0110,ACTIVE,TERM LIFE,834.09,Ontario,14,0,0.0
POL10012,CUST0215,ACTIVE,TERM LIFE,670.59,Quebec,7,1,21491.51
POL10013,CUST0173,ACTIVE,CRITICAL ILLNESS,820.9,Atlantic,8,0,0.0
POL10014,CUST0061,ACTIVE,WHOLE LIFE,48.87,BC,3,0,0.0
POL10015,CUST0250,ACTIVE,WHOLE LIFE,402.41,Alberta,14,0,0.0
POL10016,CUST0068,LAPSED,WHOLE LIFE,359.83,UNSPECIFIED,9,0,0.0
POL10017,CUST0001,ACTIVE,TERM LIFE,756.74,Quebec,7,1,35550.17
POL10018,CUST0096,LAPSED,TERM LIFE,121.27,UNSPECIFIED,4,0,0.0
POL10020,CUST0169,,CRITICAL ILLNESS,100.17,Quebec,7,0,0.0
POL10022,CUST0191,CANCELLED,DISABILITY,515.69,Atlantic,4,0,0.0
POL10023,CUST0295,ACTIVE,DISABILITY,164.85,UNSPECIFIED,15,1,20359.02
POL10024,CUST0117,,TERM LIFE,193.74,Alberta,11,0,0.0
POL10025,CUST0284,ACTIVE,WHOLE LIFE,754.57,Quebec,11,1,37949.99
POL10026,CUST0041,LAPSED,TERM LIFE,71.34,Atlantic,6,0,0.0
POL10027,CUST0131,ACTIVE,WHOLE LIFE,248.15,Ontario,1,1,39085.64
POL10028,CUST0252,ACTIVE,TERM LIFE,623.49,UNSPECIFIED,14,0,0.0
POL10029,CUST0065,ACTIVE,DISABILITY,730.44,Alberta,7,1,24063.54
POL10030,CUST0038,ACTIVE,WHOLE LIFE,205.22,Atlantic,12,1,29357.55
POL10031,CUST0036,ACTIVE,DISABILITY,88.97,BC,10,0,0.0
POL10032,CUST0145,ACTIVE,TERM LIFE,146.58,BC,2,0,0.0
POL10033,CUST0071,LAPSED,CRITICAL ILLNESS,599.89,Ontario,9,2,15015.81
POL10034,CUST0072,CANCELLED,TERM LIFE,424.58,Atlantic,3,1,37458.87
POL10035,CUST0160,ACTIVE,TERM LIFE,100.62,Ontario,10,0,0.0
POL10036,CUST0160,ACTIVE,WHOLE LIFE,100.96,Ontario,10,0,0.0
POL10037,CUST0189,CANCELLED,TERM LIFE,637.04,Ontario,10,1,3996.75
POL10038,CUST0067,,CRITICAL ILLNESS,594.97,BC,15,1,12722.84
POL10039,CUST0040,,DISABILITY,64.52,UNSPECIFIED,5,1,6936.31
POL10040,CUST0294,ACTIVE,TERM LIFE,347.13,Quebec,5,0,0.0
POL10041,CUST0037,ACTIVE,TERM LIFE,844.59,BC,13,0,0.0
POL10042,CUST0214,CANCELLED,CRITICAL ILLNESS,635.38,Ontario,6,0,0.0
POL10043,CUST0235,LAPSED,DISABILITY,107.86,UNSPECIFIED,4,0,0.0
POL10044,CUST0264,ACTIVE,CRITICAL ILLNESS,429.58,Ontario,12,0,0.0
POL10045,CUST0058,LAPSED,TERM LIFE,433.9,Ontario,2,0,0.0
POL10046,CUST0006,ACTIVE,CRITICAL ILLNESS,535.52,BC,4,1,38964.5
POL10047,CUST0087,,CRITICAL ILLNESS,397.97,Alberta,12,0,0.0
POL10048,CUST0124,ACTIVE,DISABILITY,200.79,UNSPECIFIED,15,0,0.0
POL10049,CUST0103,ACTIVE,DISABILITY,785.85,BC,13,1,776.97
POL10050,CUST0070,ACTIVE,DISABILITY,765.48,Ontario,8,3,68971.06
POL10051,CUST0033,ACTIVE,WHOLE LIFE,421.79,Quebec,1,1,13481.76
